Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
sepelkyyhky	Columba palumbus	LC (2019)	MX.27911	sepelkyyhky
turkinkyyhky	Streptopelia decaocto	EN (2019)	MX.27960	turkinkyyhky
turturikyyhky	Streptopelia turtur	CR (2019)	MX.27955	turturikyyhky
idänturturikyyhky	Streptopelia orientalis		MX.27958	idänturturikyyhky
idänturturikyyhky (alalaji meena)	Streptopelia orientalis meena		MX.5084190	idänturturikyyhky (alalaji meena)
idänturturikyyhky (alalaji orientalis)	Streptopelia orientalis orientalis		MX.5084191	idänturturikyyhky (alalaji orientalis)
turkinkyyhky × turturikyyhky	Streptopelia decaocto × turtur		MX.5084189	turkinkyyhky × turturikyyhky
harakkakäki	Clamator glandarius		MX.28699	harakkakäki
käki	Cuculus canorus	LC (2019)	MX.28715	käki
käki (harmaa värimuoto)	Cuculus canorus (grey form)	LC (2019)	MX.292041	käki (harmaa värimuoto)
idänkäki	Cuculus optatus		MX.5006517	idänkäki
tornipöllö	Tyto alba		MX.28881	tornipöllö
tornipöllö (alalaji alba)	Tyto alba alba		MX.5084202	tornipöllö (alalaji alba)
tornipöllö (alalaji guttata)	Tyto alba guttata		MX.5084203	tornipöllö (alalaji guttata)
kyläpöllönen	Otus scops		MX.28914	kyläpöllönen
huuhkaja	Bubo bubo	EN (2019)	MX.28965	huuhkaja
tunturipöllö	Bubo scandiacus	CR (2019)	MX.28987	tunturipöllö
hiiripöllö	Surnia ulula	LC (2019)	MX.29008	hiiripöllö
varpuspöllö	Glaucidium passerinum	VU (2019)	MX.29011	varpuspöllö
minervanpöllö	Athene noctua		MX.29033	minervanpöllö
lehtopöllö	Strix aluco	LC (2019)	MX.28998	lehtopöllö
lehtopöllö (harmaa värimuoto)	Strix aluco (grey form)	LC (2019)	MX.292078	lehtopöllö (harmaa värimuoto)
viirupöllö	Strix uralensis	LC (2019)	MX.29003	viirupöllö
lapinpöllö	Strix nebulosa	LC (2019)	MX.29004	lapinpöllö
sarvipöllö	Asio otus	LC (2019)	MX.29068	sarvipöllö
suopöllö	Asio flammeus	LC (2019)	MX.29072	suopöllö
helmipöllö	Aegolius funereus	NT (2019)	MX.29038	helmipöllö
kehrääjä	Caprimulgus europaeus	LC (2019)	MX.29172	kehrääjä
piikkipyrstökiitäjä	Hirundapus caudacutus		MX.29286	piikkipyrstökiitäjä
alppikiitäjä	Tachymarptis melba		MX.29315	alppikiitäjä
häätökiitäjä	Apus caffer		MX.29330	häätökiitäjä
tervapääsky	Apus apus	EN (2019)	MX.29324	tervapääsky
vaaleakiitäjä	Apus pallidus		MX.29323	vaaleakiitäjä
kuningaskalastaja	Alcedo atthis	CR (2019)	MX.29860	kuningaskalastaja
mehiläissyöjä	Merops apiaster		MX.29998	mehiläissyöjä
vihermehiläissyöjä	Merops persicus		MX.29996	vihermehiläissyöjä
sininärhi	Coracias garrulus		MX.30004	sininärhi
harjalintu	Upupa epops		MX.30031	harjalintu
käenpiika	Jynx torquilla	NT (2019)	MX.30333	käenpiika
harmaapäätikka	Picus canus	LC (2019)	MX.30530	harmaapäätikka
vihertikka	Picus viridis		MX.30527	vihertikka
palokärki	Dryocopus martius	LC (2019)	MX.30504	palokärki
valkoselkätikka	Dendrocopos leucotos	VU (2019)	MX.30438	valkoselkätikka
käpytikka	Dendrocopos major	LC (2019)	MX.30443	käpytikka
käpytikka × valkoselkätikka	Dendrocopos major × leucotos		MX.292042	käpytikka × valkoselkätikka
pohjantikka	Picoides tridactylus	LC (2019)	MX.30453	pohjantikka
tammitikka	Dendrocoptes medius		MX.30437	tammitikka
pikkutikka	Dryobates minor	LC (2019)	MX.30428	pikkutikka
viirusirkkalintu	Locustella lanceolata		MX.33629	viirusirkkalintu
pensassirkkalintu	Locustella naevia	LC (2019)	MX.33630	pensassirkkalintu
viitasirkkalintu	Locustella fluviatilis	LC (2019)	MX.33634	viitasirkkalintu
ruokosirkkalintu	Locustella luscinioides	EN (2019)	MX.33635	ruokosirkkalintu
sarasirkkalintu	Helopsaltes certhiola		MX.33631	sarasirkkalintu
paksunokkakerttunen	Arundinax aedon		MX.33666	paksunokkakerttunen
tummajunkko	Junco hyemalis		MX.35207	tummajunkko
arokiuru	Melanocorypha calandra		MX.32020	arokiuru
ylänkökiuru	Melanocorypha bimaculata		MX.32021	ylänkökiuru
mustakiuru	Melanocorypha yeltoniensis		MX.32025	mustakiuru
lyhytvarvaskiuru	Calandrella brachydactyla		MX.32033	lyhytvarvaskiuru
töyhtökiuru	Galerida cristata		MX.32056	töyhtökiuru
kangaskiuru	Lullula arborea	NT (2019)	MX.32063	kangaskiuru
pikkukiuru sensu lato	Alaudala rufescens sensu lato		MX.32038	pikkukiuru sensu lato
pikkukiuru	Alaudala rufescens		MX.5124939	pikkukiuru
kaspianpikkukiuru	Alaudala heinei		MX.5124941	kaspianpikkukiuru
valkosiipikiuru	Alauda leucoptera		MX.32024	valkosiipikiuru
kiuru	Alauda arvensis	NT (2019)	MX.32065	kiuru
tunturikiuru	Eremophila alpestris	CR (2019)	MX.32076	tunturikiuru
törmäpääsky	Riparia riparia	EN (2019)	MX.32120	törmäpääsky
kalliopääsky	Ptyonoprogne rupestris		MX.32128	kalliopääsky
haarapääsky	Hirundo rustica	VU (2019)	MX.32132	haarapääsky
räystäspääsky	Delichon urbicum	EN (2019)	MX.32163	räystäspääsky
aasianruostepääsky	Cecropis daurica		MX.32149	aasianruostepääsky
ruostepääsky	Cecropis rufula		MX.5084069	ruostepääsky
haarapääsky × räystäspääsky	Hirundo rustica × Delichon urbicum		MX.292047	haarapääsky × räystäspääsky
haarapääsky × törmäpääsky	Hirundo rustica × Riparia riparia		MX.292048	haarapääsky × törmäpääsky
törmäpääsky × räystäspääsky	Riparia riparia × Delichon urbicum		MX.292072	törmäpääsky × räystäspääsky
isokirvinen	Anthus richardi		MX.32204	isokirvinen
mongoliankirvinen	Anthus godlewskii		MX.32206	mongoliankirvinen
nummikirvinen	Anthus campestris	NA (2019)	MX.32207	nummikirvinen
taigakirvinen	Anthus hodgsoni		MX.32215	taigakirvinen
taigakirvinen (alalaji yunnanensis)	Anthus hodgsoni yunnanensis		MX.5084036	taigakirvinen (alalaji yunnanensis)
metsäkirvinen	Anthus trivialis	LC (2019)	MX.32214	metsäkirvinen
tundrakirvinen	Anthus gustavi		MX.32218	tundrakirvinen
niittykirvinen	Anthus pratensis	LC (2019)	MX.32213	niittykirvinen
lapinkirvinen	Anthus cervinus	EN (2019)	MX.32217	lapinkirvinen
luotokirvinen	Anthus petrosus	LC (2019)	MX.32221	luotokirvinen
keltavästäräkki	Motacilla flava	LC (2019)	MX.32180	keltavästäräkki
keltavästäräkki (alalaji flava)	Motacilla flava flava	LC (2019)	MX.206363	keltavästäräkki (alalaji flava)
keltavästäräkki (alalaji thunbergi)	Motacilla flava thunbergi	LC (2019)	MX.206364	keltavästäräkki (alalaji thunbergi)
keltavästäräkki (alalaji flavissima)	Motacilla flava flavissima	LC (2019)	MX.292064	keltavästäräkki (alalaji flavissima)
keltavästäräkki (alalaji beema)	Motacilla flava beema	LC (2019)	MX.5084138	keltavästäräkki (alalaji beema)
keltavästäräkki (alalaji feldegg)	Motacilla flava feldegg	LC (2019)	MX.5084139	keltavästäräkki (alalaji feldegg)
keltavästäräkki (alalaji lutea)	Motacilla flava lutea	LC (2019)	MX.5084140	keltavästäräkki (alalaji lutea)
sitruunavästäräkki	Motacilla citreola	EN (2019)	MX.32181	sitruunavästäräkki
aasiankeltavästäräkki	Motacilla tschutschensis		MX.5007358	aasiankeltavästäräkki
virtavästäräkki	Motacilla cinerea	VU (2019)	MX.32182	virtavästäräkki
västäräkki	Motacilla alba	NT (2019)	MX.32183	västäräkki
västäräkki (alalaji alba)	Motacilla alba alba	NT (2019)	MX.292062	västäräkki (alalaji alba)
englanninvästäräkki	Motacilla alba yarrellii	NT (2019)	MX.292063	englanninvästäräkki
västäräkki (alalaji leucopsis)	Motacilla alba leucopsis	NT (2019)	MX.5084136	västäräkki (alalaji leucopsis)
västäräkki (alalaji personata)	Motacilla alba personata	NT (2019)	MX.5104744	västäräkki (alalaji personata)
keltavästäräkki × sitruunavästäräkki	Motacilla flava × citreola		MX.292065	keltavästäräkki × sitruunavästäräkki
västäräkki × englanninvästäräkki	Motacilla alba × alba yarrellii		MX.5084135	västäräkki × englanninvästäräkki
västäräkkiristeymä	hybrida Motacilla		MX.5084207	västäräkkiristeymä
tilhi	Bombycilla garrulus	LC (2019)	MX.32608	tilhi
koskikara	Cinclus cinclus	VU (2019)	MX.32625	koskikara
peukaloinen	Troglodytes troglodytes	LC (2019)	MX.32696	peukaloinen
rautiainen	Prunella modularis	LC (2019)	MX.32772	rautiainen
taigarautiainen	Prunella montanella		MX.32767	taigarautiainen
mustakurkkurautiainen	Prunella atrogularis		MX.32770	mustakurkkurautiainen
alppirautiainen	Prunella collaris		MX.32763	alppirautiainen
ruostepyrstö	Cercotrichas galactotes		MX.32878	ruostepyrstö
punarinta	Erithacus rubecula	LC (2019)	MX.32801	punarinta
satakieli	Luscinia luscinia	LC (2019)	MX.32819	satakieli
etelänsatakieli	Luscinia megarhynchos		MX.32820	etelänsatakieli
sinirinta	Luscinia svecica	LC (2019)	MX.32821	sinirinta
valkotäpläsinirinta	Luscinia svecica cyanecula	LC (2019)	MX.292060	valkotäpläsinirinta
sinirinta (alalaji svecica)	Luscinia svecica svecica	LC (2019)	MX.292061	sinirinta (alalaji svecica)
rubiinisatakieli	Calliope calliope		MX.32805	rubiinisatakieli
sinipyrstö	Tarsiger cyanurus	LC (2019)	MX.32816	sinipyrstö
kivikkosatakieli	Irania gutturalis		MX.32832	kivikkosatakieli
mustaleppälintu	Phoenicurus ochruros	NT (2019)	MX.32894	mustaleppälintu
mustaleppälintu (alalaji gibraltariensis)	Phoenicurus ochruros gibraltariensis	NT (2019)	MX.5081705	mustaleppälintu (alalaji gibraltariensis)
mustaleppälintu (alalaji phoenicuroides)	Phoenicurus ochruros phoenicuroides	NT (2019)	MX.5081706	mustaleppälintu (alalaji phoenicuroides)
leppälintu	Phoenicurus phoenicurus	LC (2019)	MX.32895	leppälintu
leppälintu (alalaji phoenicurus)	Phoenicurus phoenicurus phoenicurus	LC (2019)	MX.5084151	leppälintu (alalaji phoenicurus)
leppälintu (alalaji samamisicus)	Phoenicurus phoenicurus samamisicus	LC (2019)	MX.5084152	leppälintu (alalaji samamisicus)
leppälintu × mustaleppälintu	Phoenicurus phoenicurus × ochruros		MX.292071	leppälintu × mustaleppälintu
pensastasku	Saxicola rubetra	VU (2019)	MX.32949	pensastasku
nokitasku	Saxicola caprata		MX.32956	nokitasku
sepeltasku × pensastasku	Saxicola maurus × rubetra		MX.292077	sepeltasku × pensastasku
sepeltasku	Saxicola maurus	NA (2019)	MX.200001	sepeltasku
sepeltasku (alalaji stejnegeri)	Saxicola maurus stejnegeri	NA (2019)	MX.292073	sepeltasku (alalaji stejnegeri)
sepeltasku (alalaji maurus)	Saxicola maurus maurus	NA (2019)	MX.5084183	sepeltasku (alalaji maurus)
sepeltasku (alalaji variegatus)	Saxicola maurus variegatus	NA (2019)	MX.5084184	sepeltasku (alalaji variegatus)
mustapäätasku	Saxicola rubicola		MX.32953	mustapäätasku
arotasku	Oenanthe isabellina		MX.32979	arotasku
kivitasku	Oenanthe oenanthe	LC (2019)	MX.32966	kivitasku
nunnatasku	Oenanthe pleschanka		MX.32971	nunnatasku
rusotasku sensu lato	Oenanthe hispanica sensu lato		MX.32974	rusotasku sensu lato
kirjotasku	Oenanthe melanoleuca		MX.5084144	kirjotasku
aavikkotasku	Oenanthe deserti		MX.32976	aavikkotasku
kivikkorastas	Monticola saxatilis		MX.33010	kivikkorastas
sinirastas	Monticola solitarius		MX.33015	sinirastas
kirjorastas	Zoothera aurea		MX.33051	kirjorastas
korpirastas	Catharus ustulatus		MX.33081	korpirastas
sepelrastas	Turdus torquatus	VU (2019)	MX.33104	sepelrastas
mustarastas	Turdus merula	LC (2019)	MX.33106	mustarastas
harmaakurkkurastas	Turdus obscurus		MX.33114	harmaakurkkurastas
ruosterastas	Turdus naumanni		MX.33116	ruosterastas
ruostesiipirastas	Turdus eunomus		MX.200002	ruostesiipirastas
mustakaularastas	Turdus atrogularis		MX.33115	mustakaularastas
räkättirastas	Turdus pilaris	LC (2019)	MX.33117	räkättirastas
laulurastas	Turdus philomelos	LC (2019)	MX.33119	laulurastas
punakylkirastas	Turdus iliacus	LC (2019)	MX.33118	punakylkirastas
kulorastas	Turdus viscivorus	LC (2019)	MX.33121	kulorastas
kirjokerttu	Curruca nisoria	VU (2019)	MX.33939	kirjokerttu
hernekerttu	Curruca curruca	LC (2019)	MX.33937	hernekerttu
himalajanhernekerttu	Curruca curruca althaea	LC (2019)	MX.5084195	himalajanhernekerttu
hernekerttu (alalaji blythi)	Curruca curruca blythi	LC (2019)	MX.5084196	hernekerttu (alalaji blythi)
hernekerttu (alalaji halimodendri)	Curruca curruca halimodendri	LC (2019)	MX.5084197	hernekerttu (alalaji halimodendri)
hernekerttu (alalaji curruca)	Curruca curruca curruca	LC (2019)	MX.5127044	hernekerttu (alalaji curruca)
kääpiökerttu	Curruca nana		MX.33938	kääpiökerttu
pensaskerttu	Curruca communis	NT (2019)	MX.33936	pensaskerttu
ruskokerttu	Curruca undata		MX.33949	ruskokerttu
mustakurkkukerttu	Curruca ruppeli		MX.33942	mustakurkkukerttu
samettipääkerttu	Curruca melanocephala		MX.33943	samettipääkerttu
idänrusokerttu	Curruca cantillans		MX.33946	idänrusokerttu
idänrusokerttu (alalaji albistriata)	Curruca cantillans albistriata		MX.5084193	idänrusokerttu (alalaji albistriata)
pikkukultarinta	Iduna caligata	VU (2019)	MX.33671	pikkukultarinta
aavikkokultarinta	Iduna rama		MX.73578	aavikkokultarinta
vaaleakultarinta	Iduna pallida		MX.33672	vaaleakultarinta
vaaleakultarinta (alalaji elaeica)	Iduna pallida elaeica		MX.5084101	vaaleakultarinta (alalaji elaeica)
kultarinta	Hippolais icterina	LC (2019)	MX.33676	kultarinta
sarakerttunen	Acrocephalus paludicola		MX.33640	sarakerttunen
ruokokerttunen	Acrocephalus schoenobaenus	NT (2019)	MX.33641	ruokokerttunen
kenttäkerttunen	Acrocephalus agricola		MX.33644	kenttäkerttunen
viitakerttunen	Acrocephalus dumetorum	LC (2019)	MX.33650	viitakerttunen
luhtakerttunen	Acrocephalus palustris	LC (2019)	MX.33649	luhtakerttunen
rytikerttunen	Acrocephalus scirpaceus	LC (2019)	MX.33646	rytikerttunen
rastaskerttunen	Acrocephalus arundinaceus	VU (2019)	MX.33651	rastaskerttunen
luhtakerttunen × viitakerttunen	Acrocephalus palustris × dumetorum		MX.292025	luhtakerttunen × viitakerttunen
lehtokerttu	Sylvia borin	LC (2019)	MX.33935	lehtokerttu
mustapääkerttu	Sylvia atricapilla	LC (2019)	MX.33934	mustapääkerttu
mustapääkerttu × lehtokerttu	Sylvia atricapilla × borin		MX.292079	mustapääkerttu × lehtokerttu
amurinuunilintu	Phylloscopus coronatus		MX.33899	amurinuunilintu
kaukasianuunilintu	Phylloscopus nitidus		MX.33892	kaukasianuunilintu
burjatianuunilintu	Phylloscopus plumbeitarsus		MX.33893	burjatianuunilintu
idänuunilintu	Phylloscopus trochiloides	LC (2019)	MX.33891	idänuunilintu
idänuunilintu (alalaji viridanus)	Phylloscopus trochiloides viridanus	LC (2019)	MX.5084154	idänuunilintu (alalaji viridanus)
lapinuunilintu	Phylloscopus borealis	EN (2019)	MX.33890	lapinuunilintu
hippiäisuunilintu	Phylloscopus proregulus		MX.33887	hippiäisuunilintu
taigauunilintu	Phylloscopus inornatus		MX.33889	taigauunilintu
kashmirinuunilintu	Phylloscopus humei		MX.73589	kashmirinuunilintu
siperianuunilintu	Phylloscopus schwarzi		MX.33884	siperianuunilintu
ruskouunilintu	Phylloscopus fuscatus		MX.33879	ruskouunilintu
vuoriuunilintu	Phylloscopus bonelli		MX.33877	vuoriuunilintu
balkaninuunilintu	Phylloscopus orientalis		MX.73591	balkaninuunilintu
sirittäjä	Phylloscopus sibilatrix	LC (2019)	MX.33878	sirittäjä
tiltaltti	Phylloscopus collybita	LC (2019)	MX.33874	tiltaltti
tiltaltti (alalaji collybita)	Phylloscopus collybita collybita	LC (2019)	MX.73592	tiltaltti (alalaji collybita)
idäntiltaltti	Phylloscopus collybita tristis	LC (2019)	MX.73593	idäntiltaltti
tiltaltti (alalaji abietinus)	Phylloscopus collybita abietinus	LC (2019)	MX.5105405	tiltaltti (alalaji abietinus)
iberiantiltaltti	Phylloscopus ibericus		MX.73590	iberiantiltaltti
pajulintu	Phylloscopus trochilus	LC (2019)	MX.33873	pajulintu
kamtšatkanuunilintu	Phylloscopus examinandus		MX.5007615	kamtšatkanuunilintu
hippiäinen	Regulus regulus	LC (2019)	MX.33954	hippiäinen
tulipäähippiäinen	Regulus ignicapilla		MX.33952	tulipäähippiäinen
harmaasieppo	Muscicapa striata	LC (2019)	MX.33989	harmaasieppo
pikkusieppo	Ficedula parva	LC (2019)	MX.34029	pikkusieppo
idänpikkusieppo	Ficedula albicilla		MX.4887361	idänpikkusieppo
sepelsieppo	Ficedula albicollis		MX.34022	sepelsieppo
kirjosieppo	Ficedula hypoleuca	LC (2019)	MX.34021	kirjosieppo
sepelsieppo × kirjosieppo	Ficedula albicollis × hypoleuca		MX.292044	sepelsieppo × kirjosieppo
viiksitimali	Panurus biarmicus	VU (2019)	MX.33492	viiksitimali
pyrstötiainen	Aegithalos caudatus	LC (2019)	MX.34505	pyrstötiainen
pyrstötiainen (alalaji caudatus)	Aegithalos caudatus caudatus	LC (2019)	MX.292020	pyrstötiainen (alalaji caudatus)
pyrstötiainen (alalaji europaeus)	Aegithalos caudatus europaeus	LC (2019)	MX.292021	pyrstötiainen (alalaji europaeus)
valkopäätiainen	Cyanistes cyanus	NA (2019)	MX.34575	valkopäätiainen
sinitiainen	Cyanistes caeruleus	LC (2019)	MX.34574	sinitiainen
valkopäätiainen × sinitiainen	Cyanistes cyanus × caeruleus		MX.5084079	valkopäätiainen × sinitiainen
talitiainen	Parus major	LC (2019)	MX.34567	talitiainen
kuusitiainen	Periparus ater	LC (2019)	MX.34549	kuusitiainen
töyhtötiainen	Lophophanes cristatus	VU (2019)	MX.34553	töyhtötiainen
viitatiainen	Poecile palustris		MX.34532	viitatiainen
hömötiainen	Poecile montanus	EN (2019)	MX.34535	hömötiainen
lapintiainen	Poecile cinctus	NT (2019)	MX.34542	lapintiainen
hömötiainen × lapintiainen	Poecile montanus × Poecile cinctus		MX.5084178	hömötiainen × lapintiainen
töyhtötiainen × hömötiainen	Lophophanes cristatus × Poecile montanus		MX.5084126	töyhtötiainen × hömötiainen
kuusitiainen × hömötiainen	Periparus ater × Poecile montanus		MX.5084146	kuusitiainen × hömötiainen
tiaisristeymä	hybrida Paridae		MX.5084208	tiaisristeymä
pähkinänakkeli	Sitta europaea	VU (2019)	MX.34586	pähkinänakkeli
pähkinänakkeli (alalaji europaea)	Sitta europaea europaea	VU (2019)	MX.292075	pähkinänakkeli (alalaji europaea)
pähkinänakkeli (alalaji asiatica)	Sitta europaea asiatica	VU (2019)	MX.292076	pähkinänakkeli (alalaji asiatica)
puukiipijä	Certhia familiaris	LC (2019)	MX.34616	puukiipijä
pussitiainen	Remiz pendulinus	EN (2019)	MX.34517	pussitiainen
kuhankeittäjä	Oriolus oriolus	EN (2019)	MX.36871	kuhankeittäjä
siperianlepinkäinen	Lanius cristatus		MX.32560	siperianlepinkäinen
punapyrstölepinkäinen	Lanius isabellinus		MX.73581	punapyrstölepinkäinen
punapyrstölepinkäinen (alalaji arenarius)	Lanius isabellinus arenarius		MX.5084105	punapyrstölepinkäinen (alalaji arenarius)
punapyrstölepinkäinen (alalaji isabellinus)	Lanius isabellinus isabellinus		MX.5084106	punapyrstölepinkäinen (alalaji isabellinus)
pikkulepinkäinen	Lanius collurio	LC (2019)	MX.32561	pikkulepinkäinen
mustaotsalepinkäinen	Lanius minor		MX.32568	mustaotsalepinkäinen
isolepinkäinen	Lanius excubitor	LC (2019)	MX.32570	isolepinkäinen
isolepinkäinen (alalaji excubitor)	Lanius excubitor excubitor	LC (2019)	MX.292049	isolepinkäinen (alalaji excubitor)
	Lanius excubitor homeyeri	LC (2019)	MX.292050	
isolepinkäinen (alalaji pallidirostris)	Lanius excubitor pallidirostris	LC (2019)	MX.5084109	isolepinkäinen (alalaji pallidirostris)
punapäälepinkäinen	Lanius senator		MX.32578	punapäälepinkäinen
punapäälepinkäinen (alalaji badius)	Lanius senator badius		MX.5084110	punapäälepinkäinen (alalaji badius)
punapäälepinkäinen (alalaji niloticus)	Lanius senator niloticus		MX.5084111	punapäälepinkäinen (alalaji niloticus)
punapäälepinkäinen (alalaji senator)	Lanius senator senator		MX.5084112	punapäälepinkäinen (alalaji senator)
valko-otsalepinkäinen	Lanius nubicus		MX.32579	valko-otsalepinkäinen
ruostepäälepinkäinen	Lanius phoenicuroides		MX.5007237	ruostepäälepinkäinen
taigaisolepinkäinen	Lanius borealis		MX.5007241	taigaisolepinkäinen
taigaisolepinkäinen (alalaji sibiricus)	Lanius borealis sibiricus		MX.5124937	taigaisolepinkäinen (alalaji sibiricus)
närhi	Garrulus glandarius	NT (2019)	MX.37090	närhi
kuukkeli	Perisoreus infaustus	NT (2019)	MX.37095	kuukkeli
harakka	Pica pica	NT (2019)	MX.37122	harakka
pähkinähakki	Nucifraga caryocatactes	LC (2019)	MX.37135	pähkinähakki
pähkinähakki (alalaji caryocatactes)	Nucifraga caryocatactes caryocatactes	LC (2019)	MX.206366	pähkinähakki (alalaji caryocatactes)
pähkinähakki (alalaji macrorhynchos)	Nucifraga caryocatactes macrorhynchos	LC (2019)	MX.206367	pähkinähakki (alalaji macrorhynchos)
mustavaris	Corvus frugilegus	LC (2019)	MX.37156	mustavaris
	Corvus frugilegus frugilegus	LC (2019)	MX.73571	
varis	Corvus corone	LC (2019)	MX.73566	varis
varis (alalaji cornix)	Corvus corone cornix	LC (2019)	MX.37166	varis (alalaji cornix)
nokivaris	Corvus corone corone	LC (2019)	MX.63160	nokivaris
varis × nokivaris	Corvus corone cornix × Corvus corone corone	LC (2019)	MX.5084078	varis × nokivaris
korppi	Corvus corax	LC (2019)	MX.37178	korppi
Northern Raven (nominate)	Corvus corax corax	LC (2019)	MX.73567	
idännaakka	Coloeus dauuricus		MX.37143	idännaakka
naakka	Coloeus monedula	LC (2019)	MX.37142	naakka
naakka (alalaji monedula)	Coloeus monedula monedula	LC (2019)	MX.73573	naakka (alalaji monedula)
naakka (alalaji soemmerringii)	Coloeus monedula soemmerringii	LC (2019)	MX.73574	naakka (alalaji soemmerringii)
kottarainen	Sturnus vulgaris	LC (2019)	MX.36817	kottarainen
punakottarainen	Pastor roseus		MX.36816	punakottarainen
varpunen	Passer domesticus	EN (2019)	MX.36573	varpunen
pensasvarpunen	Passer hispaniolensis		MX.36574	pensasvarpunen
pikkuvarpunen	Passer montanus	LC (2019)	MX.36589	pikkuvarpunen
varpunen × pikkuvarpunen	Passer domesticus × montanus		MX.292067	varpunen × pikkuvarpunen
